customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
7590-VHVEG_0000,14.078042699305772,101.28136642386532,1508.7138999199108,2,1,0,0,Male,0,No,No,No,Yes,No,No,No,No,Yes,No,No
7590-VHVEG_0001,72.0,46.51463920993274,3442.756696256042,1,2,1,0,Female,0,No,Yes,Yes,No phone service,No,No,No,Yes,No,No,No
7590-VHVEG_0002,39.50237080636348,91.36944535691643,3582.889247827362,1,0,0,0,Male,0,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No internet service,Yes
7590-VHVEG_0003,27.3882766132786,64.099474106139,1755.0473499193754,0,1,0,0,Female,0,Yes,Yes,Yes,Yes,No,No,No internet service,No,No internet service,No,No
7590-VHVEG_0004,5.088746113870388,84.26922016087846,469.39111233254755,0,2,1,1,Female,0,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
7590-VHVEG_0005,5.087888757438155,66.22172958262883,276.2886172168731,1,2,3,1,Female,1,No,No,Yes,No,No,No internet service,No,Yes,No,Yes,No
7590-VHVEG_0006,1.7951630582604203,19.014960395331777,0.0,2,2,0,0,Female,0,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes
7590-VHVEG_0007,60.33692593439818,18.0,1125.711363982052,2,1,0,1,Male,0,No,Yes,Yes,Yes,Yes,No internet service,No internet service,No,Yes,No,No
7590-VHVEG_0008,27.572464608817935,70.24788834958727,2033.0440641681814,1,1,2,0,Male,1,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
7590-VHVEG_0009,36.93750185113771,58.4066240592163,2162.9149596855245,1,1,2,0,Female,0,Yes,No,Yes,No,No,Yes,Yes,No,No internet service,Yes,Yes
7590-VHVEG_0010,1.0,74.95552378550734,15.364779704202682,0,2,2,1,Female,0,No,No,Yes,Yes,No internet service,No,Yes,No,No,No internet service,Yes
7590-VHVEG_0011,72.0,58.69616335391063,4193.054146937288,0,2,0,1,Male,0,Yes,No,Yes,No,Yes,No internet service,No,No,Yes,Yes,Yes
